DRCOV VERSION: 2
DRCOV FLAVOR: drcov
Module Table: version 4, count 37
Columns: id, containing_id, start, end, entry, offset, checksum, timestamp, path
  0,   0, 0x0000000071000000, 0x00000000711b1000, 0x000000007109fff0, 00007ff5ac733d50, 0x001758ea, 0x5e9f9167,  C:\wtf\utils\DynamoRIO-Windows-8.0.0-1\lib64\release\dynamorio.dll
  1,   1, 0x00007ff5cc740000, 0x00007ff5cc746000, 0x00007ff5cc740000, 00007ff5ac733d50, 0x0000b3ce, 0x5e9f91c2,  C:\wtf\utils\DynamoRIO-Windows-8.0.0-1\tools\lib64\release\drcov.dll
  2,   2, 0x00007ff5cc750000, 0x00007ff5cc759000, 0x00007ff5cc750000, 00007ff5ac733d50, 0x0000c974, 0x5e9f91c2,  C:\wtf\utils\DynamoRIO-Windows-8.0.0-1\ext\lib64\release/drcovlib.dll
  3,   3, 0x00007ff5cc760000, 0x00007ff5cc76f000, 0x00007ff5cc760000, 00007ff5ac733d50, 0x0000f4df, 0x5e9f91c1,  C:\wtf\utils\DynamoRIO-Windows-8.0.0-1\ext\lib64\release/drx.dll
  4,   4, 0x00007ff5cc770000, 0x00007ff5cc77a000, 0x00007ff5cc770000, 00007ff5ac733d50, 0x0000bbaf, 0x5e9f91bf,  C:\wtf\utils\DynamoRIO-Windows-8.0.0-1\ext\lib64\release/drreg.dll
  5,   5, 0x00007ff5cc780000, 0x00007ff5cc78e000, 0x00007ff5cc780000, 00007ff5ac733d50, 0x00013243, 0x5e9f91bc,  C:\wtf\utils\DynamoRIO-Windows-8.0.0-1\ext\lib64\release/drmgr.dll
  6,   6, 0x00007ff62bcb0000, 0x00007ff62c72b000, 0x00007ff62bcbc3ab, 00007ff5ac733d50, 0x00000000, 0x6307ad16,  C:\wtf\target binaries\EK JaCarta\windows-x86-64\x86_64\UnitTests.exe
  7,   7, 0x00007ffcba9b0000, 0x00007ffcbaab0000, 0x00007ffcba9c6110, 00007ff5ac733d50, 0x00103e56, 0x2bd748bf,  C:\Windows\System32\ucrtbase.dll
  8,   8, 0x00007ffcbaab0000, 0x00007ffcbab4d000, 0x00007ffcbaac5390, 00007ff5ac733d50, 0x0009b039, 0x39255ccf,  C:\Windows\System32\msvcp_win.dll
  9,   9, 0x00007ffcbab50000, 0x00007ffcbae18000, 0x00007ffcbab60710, 00007ff5ac733d50, 0x002d8d09, 0xb2acaea9,  C:\Windows\System32\KERNELBASE.dll
 10,  10, 0x00007ffcbaed0000, 0x00007ffcbafdd000, 0x00007ffcbaf00af0, 00007ff5ac733d50, 0x001183a1, 0x2030a5f0,  C:\Windows\System32\gdi32full.dll
 11,  11, 0x00007ffcbb030000, 0x00007ffcbb186000, 0x00007ffcbb07f2d0, 00007ff5ac733d50, 0x00154c12, 0x6d85013f,  C:\Windows\System32\CRYPT32.dll
 12,  12, 0x00007ffcbb200000, 0x00007ffcbb222000, 0x00007ffcbb200000, 00007ff5ac733d50, 0x000257ac, 0x0dcd0213,  C:\Windows\System32\win32u.dll
 13,  13, 0x00007ffcbb230000, 0x00007ffcbb257000, 0x00007ffcbb238690, 00007ff5ac733d50, 0x00029837, 0x5eccdefc,  C:\Windows\System32\bcrypt.dll
 14,  14, 0x00007ffcbb2f0000, 0x00007ffcbb415000, 0x00007ffcbb34e970, 00007ff5ac733d50, 0x0012bd82, 0xe1d764f5,  C:\Windows\System32\RPCRT4.dll
 15,  15, 0x00007ffcbb440000, 0x00007ffcbb4ab000, 0x00007ffcbb454300, 00007ff5ac733d50, 0x0006cf4b, 0xaff3315b,  C:\Windows\System32\WS2_32.dll
 16,  16, 0x00007ffcbb9c0000, 0x00007ffcbba7e000, 0x00007ffcbb9d70d0, 00007ff5ac733d50, 0x000bf847, 0x61b5977b,  C:\Windows\System32\KERNEL32.DLL
 17,  17, 0x00007ffcbbdb0000, 0x00007ffcbbe5e000, 0x00007ffcbbdc56f0, 00007ff5ac733d50, 0x000b1106, 0x120819e1,  C:\Windows\System32\ADVAPI32.dll
 18,  18, 0x00007ffcbc0e0000, 0x00007ffcbc17e000, 0x00007ffcbc0e7850, 00007ff5ac733d50, 0x0009e85d, 0x564f9f39,  C:\Windows\System32\msvcrt.dll
 19,  19, 0x00007ffcbc1a0000, 0x00007ffcbc340000, 0x00007ffcbc1b7f30, 00007ff5ac733d50, 0x001a9fbe, 0xe1c9e1a1,  C:\Windows\System32\USER32.dll
 20,  20, 0x00007ffcbc340000, 0x00007ffcbc3dc000, 0x00007ffcbc35ce00, 00007ff5ac733d50, 0x000a1737, 0x51664345,  C:\Windows\System32\sechost.dll
 21,  21, 0x00007ffcbc3e0000, 0x00007ffcbc410000, 0x00007ffcbc3e14d0, 00007ff5ac733d50, 0x00033d33, 0x3a0e9944,  C:\Windows\System32\IMM32.DLL
 22,  22, 0x00007ffcbc8f0000, 0x00007ffcbc91b000, 0x00007ffcbc8f48d0, 00007ff5ac733d50, 0x0002f1b5, 0xa0528517,  C:\Windows\System32\GDI32.dll
 23,  23, 0x00007ffcbd2d0000, 0x00007ffcbd4c5000, 0x00007ffcbd2d0000, 00007ff5ac733d50, 0x001fbce0, 0xe2f8ca76,  C:\Windows\SYSTEM32\ntdll.dll
 24,  24, 0x00007ffcbafe0000, 0x00007ffcbb02e000, 0x00007ffcbaff3280, 00007ff5ac733d50, 0x000550f8, 0x04ed5855,  C:\Windows\System32\cfgmgr32.dll
 25,  25, 0x00007ffcba750000, 0x00007ffcba784000, 0x00007ffcba758230, 00007ff5ac733d50, 0x00035a99, 0xd7ef21ed,  C:\Windows\System32\devobj.dll
 26,  26, 0x00007ffcb6240000, 0x00007ffcb6283000, 0x00007ffcb62443d0, 00007ff5ac733d50, 0x0004c861, 0x951721d0,  C:\Windows\System32\WinSCard.dll
 27,  27, 0x00007ffcbca60000, 0x00007ffcbd1a4000, 0x00007ffcbcb71a20, 00007ff5ac733d50, 0x007593f0, 0x7d6dd8b0,  C:\Windows\System32\shell32.dll
 28,  28, 0x00007ffcb54a0000, 0x00007ffcb54aa000, 0x00007ffcb54a1390, 00007ff5ac733d50, 0x0000d776, 0x14531102,  C:\Windows\System32\version.dll
 29,  29, 0x00007ffc66a40000, 0x00007ffc67134000, 0x00007ffc66eb1090, 00007ff5ac733d50, 0x006f4723, 0x6307acc0,  C:\wtf\target binaries\EK JaCarta\windows-x86-64\x86_64\jcPKCS11-2.dll
 30,  30, 0x00007ffcba030000, 0x00007ffcba08a000, 0x00007ffcba03b770, 00007ff5ac733d50, 0x0005fe0d, 0xc09c98c7,  C:\Windows\System32\winsta.dll
 31,  31, 0x00007ffcb9240000, 0x00007ffcb9252000, 0x00007ffcb9243f10, 00007ff5ac733d50, 0x0001a722, 0xf0713fcd,  C:\Windows\System32\kernel.appcore.dll
 32,  32, 0x00007ffcbb260000, 0x00007ffcbb2e2000, 0x00007ffcbb298b60, 00007ff5ac733d50, 0x0008d6fe, 0xe9d3d417,  C:\Windows\System32\bcryptprimitives.dll
 33,  33, 0x00007ffcbc920000, 0x00007ffcbc975000, 0x00007ffcbc92a7a0, 00007ff5ac733d50, 0x0006123a, 0xe6eb9927,  C:\Windows\System32\shlwapi.dll
 34,  34, 0x00007ffcbb530000, 0x00007ffcbb885000, 0x00007ffcbb622bb0, 00007ff5ac733d50, 0x0035fafa, 0xbaf10630,  C:\Windows\System32\combase.dll
 35,  35, 0x00007ffcba320000, 0x00007ffcba34e000, 0x00007ffcba323970, 00007ff5ac733d50, 0x00037bb9, 0x25ac8a73,  C:\Windows\System32\wldp.dll
 36,  36, 0x00007ffcb8a60000, 0x00007ffcb91f4000, 0x00007ffcb8c188b0, 00007ff5ac733d50, 0x007a5790, 0xc6c08306,  C:\Windows\System32\windows.storage.dll
BB Table: 95787 bbs
module id, start, size:
module[ 23]: 0x0000000000052630,  19
module[ 23]: 0x0000000000052643,  14
module[ 23]: 0x00000000000a0840,   2
module[ 16]: 0x0000000000017020,   8
module[ 16]: 0x0000000000017028,  12
module[ 16]: 0x0000000000027410,   2
module[  6]: 0x000000000000c3ab,   5
module[  6]: 0x00000000006887e8,   9
module[  6]: 0x000000000000c87e,   5
module[  6]: 0x0000000000689004,  35
module[  6]: 0x000000000068909b,  21
module[  6]: 0x00000000006887f1,   9
module[  6]: 0x0000000000688580,  25
module[  6]: 0x0000000000012747,   5
module[  6]: 0x0000000000687838,  34
module[  6]: 0x000000000000ec82,   5
module[  6]: 0x0000000000688a10,  89
module[  6]: 0x0000000000688a69,  20
module[  6]: 0x0000000000688a7d,   7
module[  6]: 0x0000000000688a84,   7
module[  6]: 0x0000000000688a8b,  10
module[  6]: 0x0000000000688ab9,  20
module[  6]: 0x0000000000688acd,  28
module[  6]: 0x0000000000688ae9,  37
module[  6]: 0x0000000000688b0e,  24
module[  6]: 0x0000000000688b26,   6
module[  6]: 0x0000000000688b2c,  28
module[  6]: 0x0000000000688b48,  31
module[  6]: 0x0000000000688b67,  32
module[  6]: 0x0000000000688b9f,  18
module[  6]: 0x000000000068785a,   5
module[  6]: 0x0000000000002f13,   5
module[  6]: 0x000000000068bef8,   9
module[  6]: 0x000000000000766c,   5
module[  6]: 0x0000000000690b44,  24
module[  6]: 0x0000000000001861,   5
module[  6]: 0x000000000069b9ec,  54
module[  6]: 0x000000000069b400,  67
module[  6]: 0x000000000069b443,   9
module[  6]: 0x000000000069b44c,   9
module[  6]: 0x000000000069b455,  16
module[  6]: 0x000000000069b470,  25
module[ 16]: 0x000000000001adc0,   7
module[  9]: 0x000000000002ac80,  23
module[  9]: 0x000000000002ac97,   9
module[  9]: 0x000000000002aca0,  12
module[  9]: 0x000000000002acac,  14
module[  9]: 0x000000000002acba,  14
module[ 23]: 0x000000000001c270,  15
module[ 23]: 0x000000000001c27f,  14
module[ 23]: 0x000000000001c283,  10
module[ 23]: 0x000000000001c28d,   8
module[ 23]: 0x000000000001c295,  17
module[  9]: 0x000000000002acc8,  13
module[  9]: 0x000000000002acd5,  17
module[  9]: 0x000000000002ace6,  24
module[  9]: 0x000000000002acfe,   9
module[  9]: 0x000000000002ad07,  27
module[  9]: 0x000000000002adae,   8
module[  9]: 0x000000000002adb6,   4
module[  9]: 0x000000000002adba,   5
module[  9]: 0x000000000002adbf,  10
module[  9]: 0x000000000002adc9,  25
module[ 23]: 0x0000000000016a10,  55
module[ 23]: 0x0000000000016a47,  84
module[ 23]: 0x0000000000016a9b,  15
module[ 23]: 0x0000000000016aaa,   9
module[ 23]: 0x0000000000016ab3,  27
module[ 23]: 0x0000000000016ace,  17
module[ 23]: 0x00000000000169b8,  40
module[ 23]: 0x00000000000a3e00,   9
module[ 23]: 0x00000000000a3e09,  23
module[ 23]: 0x00000000000a3e70,  34
module[ 23]: 0x00000000000a3ec1,   9
module[ 23]: 0x00000000000a3eca,  18
module[ 23]: 0x00000000000a3ed0,  12
module[ 23]: 0x00000000000a3edc,   6
module[ 23]: 0x00000000000a3ee8,   1
module[ 23]: 0x00000000000169e0,   5
module[ 23]: 0x00000000000169ee,  26
module[ 23]: 0x0000000000016adf,  21
module[ 23]: 0x000000000001733c,  65
module[ 23]: 0x000000000001a6cc,  50
module[ 23]: 0x000000000001a6fe,  16
module[ 23]: 0x000000000001a70e,  16
module[ 23]: 0x000000000001737d,  48
module[ 23]: 0x000000000001a360,  54
module[ 23]: 0x000000000001a396,  22
module[ 23]: 0x000000000001a514,  84
module[ 23]: 0x000000000001a568,  42
module[ 23]: 0x000000000001a728,  55
module[ 23]: 0x000000000001a75f,  35
module[ 23]: 0x000000000001a7b2,   8
module[ 23]: 0x000000000001a7c7,   5
module[ 23]: 0x000000000001a7ba,  13
module[ 23]: 0x000000000001a7cc,   5
module[ 23]: 0x000000000001a7d1,  12
module[ 23]: 0x000000000001d6f0,  43
module[ 23]: 0x000000000001d71b,  62
module[ 23]: 0x000000000001d730,  41
module[ 23]: 0x000000000001d759,  13
module[ 23]: 0x000000000001d766,  29
module[ 23]: 0x000000000001d783,   2
module[ 23]: 0x000000000001d785,   9
module[ 23]: 0x000000000001d770,  19
module[ 23]: 0x000000000001d790,   6
module[ 23]: 0x000000000001d789,   5
module[ 23]: 0x000000000001d796,  23
module[ 23]: 0x000000000001d7ad,  30
module[ 23]: 0x0000000000015ff0,  51
module[ 23]: 0x0000000000016023,  14
module[ 23]: 0x0000000000016031,  11
module[ 23]: 0x000000000001603c,   9
module[ 23]: 0x0000000000016045,   6
module[ 23]: 0x000000000001606c,  21
module[ 23]: 0x000000000001d7cb,   4
module[ 23]: 0x000000000001d7cf,  24
module[ 23]: 0x000000000001a7dd,   5
module[ 23]: 0x000000000001a7e2,   5
module[ 23]: 0x000000000001a7e7,   5
module[ 23]: 0x000000000001a7ec,  35
module[ 23]: 0x000000000001a791,  32
module[ 23]: 0x000000000001a592,  19
module[ 23]: 0x000000000001a5a5,   9
module[ 23]: 0x000000000001a647,   5
module[ 23]: 0x000000000001a64c,  10
module[ 23]: 0x000000000001a5b3,  14
module[ 23]: 0x000000000001a5c1,   9
module[ 23]: 0x000000000001a656,   8
module[ 23]: 0x000000000001a65e,  13
module[ 23]: 0x000000000001a838,  31
module[ 23]: 0x0000000000016bb0,   9
module[ 23]: 0x0000000000024850,  21
module[ 23]: 0x0000000000024865,   1
module[ 23]: 0x0000000000016bb9,   8
module[ 23]: 0x0000000000016bc1,  10
module[ 23]: 0x000000000001a857,  13
module[ 23]: 0x000000000003ba40,  15
module[ 23]: 0x000000000003ba4f,  14
module[ 23]: 0x000000000003ba53,  10
module[ 23]: 0x000000000003ba5d,  30
module[ 23]: 0x000000000001a864,  13
module[ 23]: 0x000000000001a8ac,  35
module[ 23]: 0x000000000001a8cf,  19
module[ 23]: 0x000000000001a930,  37
module[ 23]: 0x000000000001a955,  23
module[ 23]: 0x000000000001a8e2,   6
module[ 23]: 0x000000000001a8e8,  20
module[ 23]: 0x00000000000a3b40,   9
module[ 23]: 0x00000000000a3b49,   6
module[ 23]: 0x00000000000a3b60,   6
module[ 23]: 0x00000000000a3b66,  19
module[ 23]: 0x000000000001a8fc,  43
module[ 23]: 0x000000000001a871,  15
module[ 23]: 0x000000000001a880,   5
module[ 23]: 0x000000000001a885,  11
module[ 23]: 0x000000000001a890,  20
module[ 23]: 0x000000000001a66b,  10
module[ 23]: 0x000000000001a675,   9
module[ 23]: 0x000000000001a67e,   9
module[ 23]: 0x000000000001a687,  11
module[ 23]: 0x000000000001a5cd,   4
module[ 23]: 0x000000000001a5d1,   5
module[ 23]: 0x000000000001a626,  32
module[ 23]: 0x000000000001a3ac,  10
module[ 23]: 0x000000000001a3b6,  21
module[ 23]: 0x000000000001a481,  13
module[ 23]: 0x000000000001a48e,  13
module[ 23]: 0x000000000001a49b,   8
module[ 23]: 0x000000000001a409,   8
module[ 23]: 0x000000000001a411,  20
module[ 23]: 0x000000000001a425,   6
module[ 23]: 0x000000000001a42b,   6
module[ 23]: 0x000000000001a431,   6
module[ 23]: 0x000000000001a437,   6
module[ 23]: 0x000000000001a420,   5
module[ 23]: 0x000000000001a43d,  19
module[ 23]: 0x000000000001a450,  10
module[ 23]: 0x000000000001a45a,  13
module[ 23]: 0x000000000001a467,  25
module[ 23]: 0x00000000000173ad,   8
module[ 23]: 0x00000000000173b5,  47
module[ 23]: 0x000000000001fa14,  54
module[ 23]: 0x000000000001fa4a,  43
module[ 23]: 0x000000000001fc80,  41
module[ 23]: 0x000000000001fca9,   6
module[ 23]: 0x000000000001fcaf,  26
module[ 23]: 0x000000000002113c,  46
